% Model:              
% Version:            COMSOL 4.4.0.248
% Date:               Dec 8 2014, 21:41
% Dimension:          2
% Nodes:              6582
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Vorticity field, z component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  spf.vorticityz (1/s)
-2.401356759729467        -0.9612509930326949      -1.9225019860653891      -2.259989068078782E-15   -2.0000000000005373
-2.4284984856602545       -0.9625815825190445      -1.9251631650380907      6.269444416606733E-18    -2.0000000000002927
-2.45057311561878         -0.947271401303362       -1.8945428026067248      1.3191648422056991E-15   -2.0000000000001585
-2.476362738034698        -0.9453391857409997      -1.8906783714820001      2.3730710714877143E-15   -2.0000000000001585
-2.5                      -0.9428208992711837      -1.8856417985423675      0                        -1.9999999999999358
-2.2410024708388487       -0.994234264119847       -1.9884685282396837      -3.596729567014395E-16   -2.000000000001877
-2.2150953535118605       -0.9941319863518268      -1.98826397270364        -4.282133770854284E-16   -2.000000000002389
-2.44818034569344         0.9887379312393267       1.977475862478654        8.83642563572801E-17     -1.999999999999997
-2.4662775937693637       0.9799618354809152       1.9599236709618308       1.8450105112695135E-16   -2.0000000000000244
-2.4823408888791474       0.9802401612513929       1.960480322502786        1.929167905490756E-16    -2.000000000000001
-2.5                      0.9807651297722753       1.9615302595445505       0                        -1.9999999999999738
-2.4222205353912427       0.9946064701696614       1.989212940339323        2.683505567329693E-17    -1.999999999999958
-2.4222205353912427       0.9881342343732551       1.9762684687465106       -5.550245472067768E-18   -2.000000000000058
-2.163281118857884        -1                       -2                       -9.14728225286595E-31    -2.0000000000036477
-2.3962607250890446       0.9944030267911892       1.9888060535823786       -5.224756279906002E-17   -2.0000000000000324
-2.1373740015308957       -1                       -1.9999999999999998      8.294381569029439E-30    -2.000000000004414
-2.1114668842039084       -1                       -2                       4.426750437531042E-30    -2.0000000000051728
-2.08555976687692         -1                       -1.9999999999999998      -6.977091059783747E-30   -2.000000000005961
-2.3443411044846494       1                        2.0000000000000004       2.5303854926809788E-30   -2.0000000000002562
-2.3183812941824518       1                        1.9999999999999993       -4.459216421338892E-30   -2.000000000000555
-2.2410024708388487       -0.9873153810636636      -1.9746307621273038      -1.7247426837382028E-15  -2.000000000002005
-2.3357407879113543       -0.9770188407135103      -1.9540376814270115      -2.882543238496096E-15   -2.000000000000841
-2.309841120536705        -0.9766585855822261      -1.9533171711644355      -3.8297029704469435E-15  -2.000000000001121
-2.284336646877537        -0.976377492957113       -1.9527549859142002      -4.623717902634454E-15   -2.000000000001191
-2.258031564224341        -0.975693633811112       -1.951387267622186       -5.7960981242530726E-15  -2.0000000000020877
-2.3768690364240816       -0.9617082667407578      -1.92341653348151        -4.487485546011859E-15   -2.0000000000006777
-2.3511187667124527       -0.9607291885752577      -1.9214583771505012      -6.9913247448884915E-15  -2.000000000000693
-2.3837765458037845       -0.943046785585021       -1.88609357117003        -9.537379299549158E-15   -2.000000000000695
-2.408536121451725        -0.9408874271629222      -1.8817748543258397      -4.7515685674865774E-15  -2.0000000000007883
-2.4274520863635596       -0.9367041247105995      -1.8734082494211963      -2.6365954501036586E-15  -2.0000000000002367
-2.449058835683835        -0.9227867944114241      -1.8455735888228464      -1.0899924296295337E-16  -2.0000000000001585
-2.4752757248203894       -0.9146989583606988      -1.8293979167213974      2.2502543976078884E-15   -2.000000000000122
-2.5                      -0.909764841630273       -1.819529683260546       0                        -1.999999999999909
-2.2150953535118605       -0.9870903699740189      -1.974180739948007       -1.9250668945251082E-15  -2.000000000002606
-2.1891882361848722       -0.9940543529721411      -1.9881087059442646      -4.610529588364214E-16   -2.00000000000307
-2.1891882361848722       -0.9869195765387103      -1.9738391530773813      -2.2034869550283584E-15  -2.000000000003197
-2.163281118857884        -0.9940632649438352      -1.988126529887649       -5.217370762796441E-16   -2.0000000000037375
-2.1373740015308957       -0.994111492748615       -1.9882229854972036      -5.653131902190762E-16   -2.0000000000043836
-2.1114668842039084       -0.9941484807163063      -1.988296961432582       -5.380968332481093E-16   -2.000000000005229
-2.4404792297357343       0.978357355014768        1.9567147100295366       8.720107701089652E-17    -2.0000000000000786
-2.4526703315487786       0.9644339055247371       1.9288678110494746       2.8735989658485165E-16   -2.000000000000126
-2.4790452699689856       0.9645073002802992       1.9290146005605986       5.498253572752046E-16    -2.0000000000000493
-2.5                      0.9656776981036743       1.9313553962073486       0                        -1.9999999999999882
-2.3962607250890446       0.9876866589406162       1.9753733178812325       -2.1818092718331535E-16  -2.000000000000132
-2.4137666538754323       0.9775244098834103       1.9550488197668208       -3.4512953691803496E-16  -2.0000000000001927
-2.059652649549932        -1                       -1.9999999999999998      -1.1925921503885862E-29  -2.0000000000068363
-2.3703009147868475       0.9943499163729443       1.9886998327458882       -9.74763791616436E-17    -2.000000000000082
-2.292421483880254        1                        1.9999999999999998       -1.892383161950485E-30   -2.000000000000797
-2.266461673578057        1                        1.9999999999999998       -2.3580629098302208E-30  -2.0000000000010925
